W0104 11:57:12.566669   440 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W0104 11:57:12.570772   440 device_context.cc:465] device: 0, cuDNN Version: 7.6.
total number of training samples: 22973
total number of training steps: 143600
total number of validation samples: 500
number of trainable parameters: 58452008
batch    100 | examples/s: 36.69 | loss: 1.08629 | time elapsed: 0.01h | time left: 15.26h
batch    200 | examples/s: 30.76 | loss: 0.69944 | time elapsed: 0.02h | time left: 15.28h
batch    300 | examples/s: 33.17 | loss: 0.62740 | time elapsed: 0.03h | time left: 15.23h
batch    400 | examples/s: 29.10 | loss: 0.62185 | time elapsed: 0.04h | time left: 15.23h
batch    500 | examples/s: 33.26 | loss: 0.58679 | time elapsed: 0.05h | time left: 15.18h
batch    600 | examples/s: 33.30 | loss: 0.57057 | time elapsed: 0.06h | time left: 15.14h
batch    700 | examples/s: 33.26 | loss: 0.56943 | time elapsed: 0.07h | time left: 15.11h
batch    800 | examples/s: 25.56 | loss: 0.56883 | time elapsed: 0.08h | time left: 15.07h
batch    900 | examples/s: 29.74 | loss: 0.55543 | time elapsed: 0.09h | time left: 15.02h
batch   1000 | examples/s: 32.88 | loss: 0.53964 | time elapsed: 0.11h | time left: 15.02h
batch   1100 | examples/s: 32.95 | loss: 0.53959 | time elapsed: 0.12h | time left: 14.97h
batch   1200 | examples/s: 33.11 | loss: 0.54282 | time elapsed: 0.13h | time left: 14.99h
batch   1300 | examples/s: 25.98 | loss: 0.52261 | time elapsed: 0.14h | time left: 14.97h
batch   1400 | examples/s: 33.20 | loss: 0.50885 | time elapsed: 0.15h | time left: 14.94h
batch   1500 | examples/s: 30.20 | loss: 0.51659 | time elapsed: 0.16h | time left: 14.94h
batch   1600 | examples/s: 28.70 | loss: 0.49046 | time elapsed: 0.17h | time left: 14.92h
batch   1700 | examples/s: 33.23 | loss: 0.48613 | time elapsed: 0.18h | time left: 14.93h
batch   1800 | examples/s: 29.98 | loss: 0.50449 | time elapsed: 0.19h | time left: 14.90h
batch   1900 | examples/s: 33.07 | loss: 0.50139 | time elapsed: 0.20h | time left: 14.87h
batch   2000 | examples/s: 33.27 | loss: 0.49141 | time elapsed: 0.21h | time left: 14.86h
batch   2100 | examples/s: 35.70 | loss: 0.48743 | time elapsed: 0.22h | time left: 14.84h
batch   2200 | examples/s: 28.77 | loss: 0.49270 | time elapsed: 0.23h | time left: 14.85h
batch   2300 | examples/s: 28.07 | loss: 0.46879 | time elapsed: 0.24h | time left: 14.82h
batch   2400 | examples/s: 29.04 | loss: 0.47072 | time elapsed: 0.25h | time left: 14.80h
batch   2500 | examples/s: 28.87 | loss: 0.48598 | time elapsed: 0.26h | time left: 14.81h
batch   2600 | examples/s: 34.59 | loss: 0.47984 | time elapsed: 0.27h | time left: 14.80h
batch   2700 | examples/s: 29.11 | loss: 0.46751 | time elapsed: 0.28h | time left: 14.79h
batch   2800 | examples/s: 28.87 | loss: 0.46778 | time elapsed: 0.29h | time left: 14.78h
epoch   0 | val loss: 0.48548 | time cost: 17.77 s |
batch   2900 | examples/s: 33.26 | loss: 0.46560 | time elapsed: 0.31h | time left: 15.04h
batch   3000 | examples/s: 20.41 | loss: 0.45270 | time elapsed: 0.32h | time left: 15.14h
batch   3100 | examples/s: 29.03 | loss: 0.45435 | time elapsed: 0.33h | time left: 15.16h
batch   3200 | examples/s: 7.63 | loss: 0.44062 | time elapsed: 0.35h | time left: 15.35h
batch   3300 | examples/s: 36.44 | loss: 0.45518 | time elapsed: 0.38h | time left: 16.34h
batch   3400 | examples/s: 29.86 | loss: 0.45894 | time elapsed: 0.39h | time left: 16.28h
batch   3500 | examples/s: 32.77 | loss: 0.45249 | time elapsed: 0.41h | time left: 16.24h
batch   3600 | examples/s: 30.08 | loss: 0.45758 | time elapsed: 0.42h | time left: 16.20h
batch   3700 | examples/s: 33.27 | loss: 0.44422 | time elapsed: 0.43h | time left: 16.17h
batch   3800 | examples/s: 32.93 | loss: 0.44314 | time elapsed: 0.44h | time left: 16.12h
batch   3900 | examples/s: 33.07 | loss: 0.43544 | time elapsed: 0.45h | time left: 16.09h
batch   4000 | examples/s: 33.17 | loss: 0.42853 | time elapsed: 0.46h | time left: 16.05h
batch   4100 | examples/s: 28.81 | loss: 0.44029 | time elapsed: 0.47h | time left: 16.01h
batch   4200 | examples/s: 28.94 | loss: 0.43835 | time elapsed: 0.48h | time left: 15.98h
batch   4300 | examples/s: 33.12 | loss: 0.44433 | time elapsed: 0.49h | time left: 15.95h
batch   4400 | examples/s: 33.28 | loss: 0.43577 | time elapsed: 0.50h | time left: 15.91h
batch   4500 | examples/s: 29.75 | loss: 0.43279 | time elapsed: 0.51h | time left: 15.89h
batch   4600 | examples/s: 38.62 | loss: 0.44388 | time elapsed: 0.52h | time left: 15.86h
batch   4700 | examples/s: 33.11 | loss: 0.42438 | time elapsed: 0.54h | time left: 15.83h
batch   4800 | examples/s: 33.13 | loss: 0.42601 | time elapsed: 0.55h | time left: 15.79h
batch   4900 | examples/s: 33.12 | loss: 0.42717 | time elapsed: 0.56h | time left: 15.77h
batch   5000 | examples/s: 32.82 | loss: 0.43070 | time elapsed: 0.57h | time left: 15.75h
batch   5100 | examples/s: 33.40 | loss: 0.43252 | time elapsed: 0.58h | time left: 15.71h
batch   5200 | examples/s: 34.21 | loss: 0.43782 | time elapsed: 0.59h | time left: 15.69h
batch   5300 | examples/s: 33.16 | loss: 0.42148 | time elapsed: 0.60h | time left: 15.67h
batch   5400 | examples/s: 33.10 | loss: 0.41785 | time elapsed: 0.61h | time left: 15.64h
batch   5500 | examples/s: 33.29 | loss: 0.41816 | time elapsed: 0.62h | time left: 15.62h
batch   5600 | examples/s: 29.84 | loss: 0.41658 | time elapsed: 0.63h | time left: 15.60h
batch   5700 | examples/s: 33.02 | loss: 0.41774 | time elapsed: 0.64h | time left: 15.58h
epoch   1 | val loss: 0.45036 | time cost: 18.45 s |
batch   5800 | examples/s: 29.84 | loss: 0.41758 | time elapsed: 0.66h | time left: 15.69h
batch   5900 | examples/s: 33.18 | loss: 0.41202 | time elapsed: 0.67h | time left: 15.66h
batch   6000 | examples/s: 27.27 | loss: 0.41065 | time elapsed: 0.68h | time left: 15.64h
batch   6100 | examples/s: 35.24 | loss: 0.42482 | time elapsed: 0.69h | time left: 15.62h
batch   6200 | examples/s: 27.53 | loss: 0.41016 | time elapsed: 0.70h | time left: 15.60h
batch   6300 | examples/s: 33.09 | loss: 0.42250 | time elapsed: 0.71h | time left: 15.58h
batch   6400 | examples/s: 26.45 | loss: 0.40730 | time elapsed: 0.73h | time left: 15.56h
batch   6500 | examples/s: 33.13 | loss: 0.41205 | time elapsed: 0.74h | time left: 15.53h
batch   6600 | examples/s: 27.48 | loss: 0.40688 | time elapsed: 0.75h | time left: 15.52h
batch   6700 | examples/s: 32.79 | loss: 0.41411 | time elapsed: 0.76h | time left: 15.49h
batch   6800 | examples/s: 32.66 | loss: 0.40754 | time elapsed: 0.77h | time left: 15.47h
batch   6900 | examples/s: 30.98 | loss: 0.40029 | time elapsed: 0.78h | time left: 15.46h
batch   7000 | examples/s: 29.47 | loss: 0.40262 | time elapsed: 0.79h | time left: 15.43h
batch   7100 | examples/s: 33.16 | loss: 0.40900 | time elapsed: 0.80h | time left: 15.42h
batch   7200 | examples/s: 33.16 | loss: 0.39803 | time elapsed: 0.81h | time left: 15.39h
batch   7300 | examples/s: 35.18 | loss: 0.39505 | time elapsed: 0.82h | time left: 15.38h
batch   7400 | examples/s: 29.86 | loss: 0.39664 | time elapsed: 0.83h | time left: 15.36h
batch   7500 | examples/s: 28.43 | loss: 0.40671 | time elapsed: 0.85h | time left: 15.34h
batch   7600 | examples/s: 33.05 | loss: 0.40452 | time elapsed: 0.86h | time left: 15.32h
batch   7700 | examples/s: 27.86 | loss: 0.39785 | time elapsed: 0.87h | time left: 15.30h
batch   7800 | examples/s: 28.93 | loss: 0.39866 | time elapsed: 0.88h | time left: 15.28h
batch   7900 | examples/s: 30.70 | loss: 0.40956 | time elapsed: 0.89h | time left: 15.26h
batch   8000 | examples/s: 28.01 | loss: 0.39764 | time elapsed: 0.90h | time left: 15.25h
batch   8100 | examples/s: 32.08 | loss: 0.40297 | time elapsed: 0.91h | time left: 15.23h
batch   8200 | examples/s: 22.47 | loss: 0.40489 | time elapsed: 0.92h | time left: 15.22h
batch   8300 | examples/s: 33.02 | loss: 0.40620 | time elapsed: 0.93h | time left: 15.20h
batch   8400 | examples/s: 31.14 | loss: 0.39138 | time elapsed: 0.94h | time left: 15.18h
batch   8500 | examples/s: 32.10 | loss: 0.39100 | time elapsed: 0.95h | time left: 15.16h
batch   8600 | examples/s: 28.32 | loss: 0.40119 | time elapsed: 0.97h | time left: 15.15h
epoch   2 | val loss: 0.44065 | time cost: 18.76 s |
batch   8700 | examples/s: 31.59 | loss: 0.38250 | time elapsed: 0.98h | time left: 15.22h
batch   8800 | examples/s: 33.30 | loss: 0.38879 | time elapsed: 0.99h | time left: 15.20h
batch   8900 | examples/s: 28.53 | loss: 0.37766 | time elapsed: 1.00h | time left: 15.18h
batch   9000 | examples/s: 33.36 | loss: 0.39226 | time elapsed: 1.01h | time left: 15.17h
batch   9100 | examples/s: 33.32 | loss: 0.39652 | time elapsed: 1.03h | time left: 15.15h
batch   9200 | examples/s: 33.17 | loss: 0.38954 | time elapsed: 1.04h | time left: 15.14h
batch   9300 | examples/s: 32.07 | loss: 0.39015 | time elapsed: 1.05h | time left: 15.12h
batch   9400 | examples/s: 28.51 | loss: 0.39485 | time elapsed: 1.06h | time left: 15.10h
batch   9500 | examples/s: 32.61 | loss: 0.38004 | time elapsed: 1.07h | time left: 15.08h
batch   9600 | examples/s: 32.68 | loss: 0.38820 | time elapsed: 1.08h | time left: 15.06h
batch   9700 | examples/s: 32.97 | loss: 0.37775 | time elapsed: 1.09h | time left: 15.05h
batch   9800 | examples/s: 33.11 | loss: 0.38772 | time elapsed: 1.10h | time left: 15.04h
batch   9900 | examples/s: 28.23 | loss: 0.38614 | time elapsed: 1.11h | time left: 15.02h
