W0105 11:10:39.824003  9104 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 6.1, Driver API Version: 10.1, Runtime API Version: 10.1
W0105 11:10:39.830708  9104 device_context.cc:465] device: 0, cuDNN Version: 7.6.
total number of training samples: 22600
total number of training steps: 141250
total number of validation samples: 888
number of trainable parameters: 58452008
batch    100 | examples/s: 27.50 | loss: 0.82033 | time elapsed: 0.01h | time left: 16.71h
batch    200 | examples/s: 27.39 | loss: 0.77667 | time elapsed: 0.02h | time left: 16.37h
batch    300 | examples/s: 27.87 | loss: 0.73725 | time elapsed: 0.03h | time left: 16.22h
batch    400 | examples/s: 26.41 | loss: 0.72170 | time elapsed: 0.05h | time left: 16.15h
batch    500 | examples/s: 28.21 | loss: 0.72490 | time elapsed: 0.06h | time left: 16.07h
batch    600 | examples/s: 28.41 | loss: 0.72501 | time elapsed: 0.07h | time left: 16.03h
batch    700 | examples/s: 27.80 | loss: 0.72987 | time elapsed: 0.08h | time left: 16.02h
batch    800 | examples/s: 28.22 | loss: 0.71136 | time elapsed: 0.09h | time left: 15.99h
batch    900 | examples/s: 27.35 | loss: 0.71467 | time elapsed: 0.10h | time left: 15.96h
batch   1000 | examples/s: 27.97 | loss: 0.68444 | time elapsed: 0.11h | time left: 15.93h
batch   1100 | examples/s: 27.42 | loss: 0.69316 | time elapsed: 0.12h | time left: 15.91h
batch   1200 | examples/s: 27.93 | loss: 0.69581 | time elapsed: 0.14h | time left: 15.89h
batch   1300 | examples/s: 27.94 | loss: 0.70063 | time elapsed: 0.15h | time left: 15.87h
batch   1400 | examples/s: 28.42 | loss: 0.69808 | time elapsed: 0.16h | time left: 15.85h
batch   1500 | examples/s: 27.84 | loss: 0.69758 | time elapsed: 0.17h | time left: 15.83h
batch   1600 | examples/s: 28.28 | loss: 0.67438 | time elapsed: 0.18h | time left: 15.82h
batch   1700 | examples/s: 27.76 | loss: 0.66091 | time elapsed: 0.19h | time left: 15.80h
batch   1800 | examples/s: 28.23 | loss: 0.68425 | time elapsed: 0.20h | time left: 15.78h
batch   1900 | examples/s: 28.17 | loss: 0.69291 | time elapsed: 0.21h | time left: 15.76h
batch   2000 | examples/s: 28.03 | loss: 0.67278 | time elapsed: 0.23h | time left: 15.75h
batch   2100 | examples/s: 27.81 | loss: 0.67941 | time elapsed: 0.24h | time left: 15.74h
batch   2200 | examples/s: 28.14 | loss: 0.66612 | time elapsed: 0.25h | time left: 15.73h
batch   2300 | examples/s: 27.44 | loss: 0.66738 | time elapsed: 0.26h | time left: 15.72h
batch   2400 | examples/s: 27.91 | loss: 0.64577 | time elapsed: 0.27h | time left: 15.70h
batch   2500 | examples/s: 28.05 | loss: 0.65399 | time elapsed: 0.28h | time left: 15.69h
batch   2600 | examples/s: 27.16 | loss: 0.67445 | time elapsed: 0.29h | time left: 15.69h
batch   2700 | examples/s: 25.79 | loss: 0.72103 | time elapsed: 0.31h | time left: 15.70h
batch   2800 | examples/s: 27.44 | loss: 0.67885 | time elapsed: 0.32h | time left: 15.70h
epoch   0 | val loss: 0.66390 | time cost: 21.83 s |
batch   2900 | examples/s: 25.55 | loss: 0.67821 | time elapsed: 0.34h | time left: 16.03h
batch   3000 | examples/s: 27.81 | loss: 0.66793 | time elapsed: 0.35h | time left: 16.03h
batch   3100 | examples/s: 27.66 | loss: 0.66143 | time elapsed: 0.36h | time left: 16.00h
batch   3200 | examples/s: 25.84 | loss: 0.64713 | time elapsed: 0.37h | time left: 15.99h
batch   3300 | examples/s: 27.91 | loss: 0.64495 | time elapsed: 0.38h | time left: 15.98h
batch   3400 | examples/s: 25.19 | loss: 0.64607 | time elapsed: 0.39h | time left: 15.95h
batch   3500 | examples/s: 28.10 | loss: 0.66006 | time elapsed: 0.41h | time left: 15.94h
batch   3600 | examples/s: 28.06 | loss: 0.64116 | time elapsed: 0.42h | time left: 15.92h
batch   3700 | examples/s: 27.63 | loss: 0.64367 | time elapsed: 0.43h | time left: 15.90h
batch   3800 | examples/s: 27.92 | loss: 0.65218 | time elapsed: 0.44h | time left: 15.88h
batch   3900 | examples/s: 28.05 | loss: 0.63624 | time elapsed: 0.45h | time left: 15.85h
batch   4000 | examples/s: 27.72 | loss: 0.66020 | time elapsed: 0.46h | time left: 15.84h
batch   4100 | examples/s: 27.85 | loss: 0.63495 | time elapsed: 0.47h | time left: 15.82h
batch   4200 | examples/s: 28.09 | loss: 0.64657 | time elapsed: 0.48h | time left: 15.80h
batch   4300 | examples/s: 27.67 | loss: 0.64525 | time elapsed: 0.50h | time left: 15.78h
batch   4400 | examples/s: 27.79 | loss: 0.63566 | time elapsed: 0.51h | time left: 15.76h
batch   4500 | examples/s: 28.03 | loss: 0.62973 | time elapsed: 0.52h | time left: 15.74h
batch   4600 | examples/s: 28.22 | loss: 0.65814 | time elapsed: 0.53h | time left: 15.73h
batch   4700 | examples/s: 28.00 | loss: 0.62481 | time elapsed: 0.54h | time left: 15.71h
batch   4800 | examples/s: 27.88 | loss: 0.63505 | time elapsed: 0.55h | time left: 15.69h
batch   4900 | examples/s: 28.44 | loss: 0.62800 | time elapsed: 0.56h | time left: 15.67h
batch   5000 | examples/s: 28.02 | loss: 0.64399 | time elapsed: 0.57h | time left: 15.66h
batch   5100 | examples/s: 27.14 | loss: 0.62483 | time elapsed: 0.59h | time left: 15.65h
batch   5200 | examples/s: 27.82 | loss: 0.60744 | time elapsed: 0.60h | time left: 15.63h
batch   5300 | examples/s: 28.25 | loss: 0.63892 | time elapsed: 0.61h | time left: 15.62h
batch   5400 | examples/s: 28.06 | loss: 0.63310 | time elapsed: 0.62h | time left: 15.60h
batch   5500 | examples/s: 28.27 | loss: 0.63110 | time elapsed: 0.63h | time left: 15.58h
batch   5600 | examples/s: 28.00 | loss: 0.62893 | time elapsed: 0.64h | time left: 15.57h
epoch   1 | val loss: 0.61853 | time cost: 20.13 s |
batch   5700 | examples/s: 28.01 | loss: 0.61408 | time elapsed: 0.66h | time left: 15.71h
batch   5800 | examples/s: 28.00 | loss: 0.62566 | time elapsed: 0.67h | time left: 15.69h
batch   5900 | examples/s: 27.40 | loss: 0.61154 | time elapsed: 0.68h | time left: 15.68h
batch   6000 | examples/s: 27.94 | loss: 0.61885 | time elapsed: 0.69h | time left: 15.66h
batch   6100 | examples/s: 27.11 | loss: 0.61171 | time elapsed: 0.71h | time left: 15.64h
batch   6200 | examples/s: 26.98 | loss: 0.62152 | time elapsed: 0.72h | time left: 15.63h
batch   6300 | examples/s: 26.79 | loss: 0.63764 | time elapsed: 0.73h | time left: 15.61h
batch   6400 | examples/s: 28.10 | loss: 0.61538 | time elapsed: 0.74h | time left: 15.60h
batch   6500 | examples/s: 28.41 | loss: 0.63848 | time elapsed: 0.75h | time left: 15.58h
batch   6600 | examples/s: 28.18 | loss: 0.60483 | time elapsed: 0.76h | time left: 15.57h
batch   6700 | examples/s: 25.65 | loss: 0.60912 | time elapsed: 0.77h | time left: 15.56h
batch   6800 | examples/s: 28.15 | loss: 0.61427 | time elapsed: 0.79h | time left: 15.54h
batch   6900 | examples/s: 27.98 | loss: 0.61963 | time elapsed: 0.80h | time left: 15.53h
batch   7000 | examples/s: 28.06 | loss: 0.60552 | time elapsed: 0.81h | time left: 15.51h
batch   7100 | examples/s: 27.96 | loss: 0.61382 | time elapsed: 0.82h | time left: 15.50h
batch   7200 | examples/s: 27.66 | loss: 0.61785 | time elapsed: 0.83h | time left: 15.49h
batch   7300 | examples/s: 27.44 | loss: 0.60365 | time elapsed: 0.84h | time left: 15.47h
batch   7400 | examples/s: 27.62 | loss: 0.63037 | time elapsed: 0.85h | time left: 15.46h
batch   7500 | examples/s: 27.70 | loss: 0.62598 | time elapsed: 0.87h | time left: 15.44h
batch   7600 | examples/s: 27.32 | loss: 0.61322 | time elapsed: 0.88h | time left: 15.43h
batch   7700 | examples/s: 27.66 | loss: 0.62030 | time elapsed: 0.89h | time left: 15.42h
